"Post Title",Post/Page,Domain,"Original Author","Original Post date","last edited Author","Last Modified Date","Number of Times Accessed","Total Hits"
"Privacy Statement",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Home,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:37Z,0,"0 View"
"Eastern College",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Westervelt College",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Toronto Film School",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Partner Schools",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Admission Requirements",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Administration,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Faculty,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Board of Governors",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Psychometric Assessments",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Career Management Professional Program",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Continuing Professional Education",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"MACP Designation",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Course Descriptions",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Career Outcomes",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Program Timetable",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Professional Designations for MACP Graduates",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Scope of Practice &amp; Ethical Obligations",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Practicum,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Master of Arts in Counselling Psychology",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Programs,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Financial Aid",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Mission Statement",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Academic Schedule",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"President's Message",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Academic Calendar",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Request Information",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Guide to Online Learning",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Contact Us",page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
Admissions,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
About,page,azure.yorkvilleu.test,mkamal,1970-01-01T00:33:34Z,mkamal,1970-01-01T00:33:34Z,0,"0 View"
"Welcome to the Writing Lab",post,success.yorkvilleu.test,yorkvilleu,1970-01-01T00:33:37Z,yorkvilleu,1970-01-01T00:33:38Z,0,"0 Views"
